Unnamed: 0,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,language,sentiment,standardizedReview,mentionedFeature,mentionedSynonyms
300,3ba5889a-4c9f-4225-ac76-627a12703354,Monica Garcia,https://play-lh.googleusercontent.com/a-/ACB-R5TUL4enfcg3nODjQZjsGozYEcXRSqHIsPp1VaAOfA,"Con los 14 días gratis de versión Pro (y bastante dedicación) alcancé a aprender Python básico e intermedio. Ahora voy por más. Me gusta el ambiente colaborativo que se da en la comunidad, entre todos nos ayudamos a aprender, creo que eso es crucial en programación, aprender de los errores y preguntar, preguntar, preguntar!",5,1,4.39.0,2023-03-19 04:01:38,,,4.39.0,es,POS,con los 14 dias gratis de version pro bastante dedicacion alcance aprender python basico e intermedio ahora voy por mas gusta el ambiente colaborativo que se da en la comunidad entre todos nos ayudamos aprender creo que eso es crucial en programacion aprender de los errores preguntar preguntar preguntar,daily streaks,dia
417,f571b3b5-ec84-4edf-85d5-f4e5f0a2df15,Javitxu,https://play-lh.googleusercontent.com/a-/ACB-R5RwuoWmncMgyiMi_O6I9LAfZaLfymA4tanu_MNojA,"Empecé con la aplicación en el curso de python todo iba bien hasta que empecé a ver erratas en los códigos y cosas que dificultaban el aprendizaje, como que aparecían ejercicios que no eran claros o que pedían cosas que aún no enseñaban y daban por hecho que ya se sabían, como por ejemplo el operador (%) o el (**) espero que resuelvan eso ya que la aplicación te quita vidas por los fallos, una característica completamente innecesaria",3,1,4.39.0,2023-02-27 16:03:43,"Hola Javitxu,

Gracias por tu comentario. Hemos reenviado tu sugerencia al equipo apropiado para que la tenga en cuenta. Trabajamos para mejorar el contenido de nuestra plataforma, de modo que leemos y respondemos a los miembros de nuestra comunidad y cada pequeño comentario nos ayuda a que Sololearn sea una mejor academia de programación.",2023-03-06 13:19:51,4.39.0,es,NEG,empece con la aplicacion en el curso de python todo iba bien hasta que empece ver erratas en los codigos cosas que dificultaban el aprendizaje como que aparecian ejercicios que eran claros que pedian cosas que aun ensenaban daban por hecho que ya se sabian como por ejemplo el operador el espero que resuelvan eso ya que la aplicacion te quita vidas por los fallos una caracteristica completamente innecesaria,daily streaks,dia
985,bfbee1a2-2ea1-4bed-a90e-cb9aa87014dc,Julio Hernández,https://play-lh.googleusercontent.com/a-/ACB-R5S19myMkXUCV0SokdFVhcKePiyEYUV7JTeQwNzd0gE,Lo he vuelto a retomar despues de 2 años y me parece que han mejorado bastante. La UI es más amigable. Actualmente estoy en el curso de Python y me parece muy buena.,5,0,4.33.1,2022-12-05 13:56:12,,,4.33.1,es,POS,lo vuelto retomar despues de 2 anos parece que han mejorado bastante la ui es mas amigable actualmente estoy en el curso de python parece muy buena,"boosters, voting","mejora, tom"
1292,3c42123f-933e-4146-abff-7574ab9804a5,Diana rosmery Diaz peche,https://play-lh.googleusercontent.com/a/AGNmyxaPh_cO2xrUZlGYldxPhXym6tdDipWJeZxINCzq=mo,"La app me encanta, me motiva mucho a seguir con mis metas de aprender python y otos lenguajes de programacion como HTML o C++, increible",5,0,4.31.0,2022-11-02 06:43:13,,,4.31.0,es,POS,la app encanta motiva mucho seguir con mis metas de aprender python otos lenguajes de programacion como html c increible,last mile drive,motiv
1542,84a1aab1-9d1e-407c-9a84-7d2f204e587b,Rodrigo Villafuerte Mtz,https://play-lh.googleusercontent.com/a-/ACB-R5ShLQEOMRNKYOIasCVOvcQIyunhmh_uOnrjVw7RMw,Estoy empezando a aprender Python y es una excelente herramienta para aprender lenguajes de programación. Además no necesitas invertir mucho tiempo al día para aprender un lenguaje.,5,0,4.26.0,2022-10-05 21:43:45,,,4.26.0,es,POS,estoy empezando aprender python es una excelente herramienta para aprender lenguajes de programacion ademas necesitas invertir mucho tiempo al dia para aprender un lenguaje,daily streaks,dia
2108,da603a68-878c-4b5b-83d4-d8753f5ef0cb,Jimena Ruiz Cabañas Rivero,https://play-lh.googleusercontent.com/a-/ACB-R5Rt3_ESJHJnqUO492clHMoswUbQ8gQDTnp1wFM5ZQ,"¡Excelentísima! He aprendido mucho sobre Python en poco tiempo solamente dedicándole unos pocos minutos al día. Además, tiene cursos de otros lenguajes de programación que tomaré próximamente. Ya estoy pensando en comprar la versión PRO. ¡Me encanta!",5,0,4.24.2,2022-08-07 14:55:59,,,4.24.2,es,POS,excelentisima aprendido mucho sobre python en poco tiempo solamente dedicandole unos pocos minutos al dia ademas tiene cursos de otros lenguajes de programacion que tomare proximamente ya estoy pensando en comprar la version pro encanta,"daily streaks, voting","dia, tom"
2202,2a8e84c7-90d0-4441-8070-072be933103c,Ramón David Pérez Lanyau,https://play-lh.googleusercontent.com/a/AGNmyxbMrhCYL2Ot7OVYjLXmex-VPLik2dpBTVAUy779=mo,"Es la mejor app q he empleado para aprender a programar. Es muy integra , tiene muchos cursos, y los ejercicios enseñan de forma efectiva. Solo encuentro un defecto, en el curso Python Intermedio , en los códigos que usan para ejemplos no me corren, no se me ejecutan a diferencia del curso Python for benginers q yo si acostumbraba ejecutarlos para entender la teoría con ejemplos.",5,22,4.23.1,2022-07-29 19:06:28,,,4.23.1,es,POS,es la mejor app q empleado para aprender programar es muy integra tiene muchos cursos los ejercicios ensenan de forma efectiva solo encuentro un defecto en el curso python intermedio en los codigos que usan para ejemplos corren se ejecutan diferencia del curso python benginers q yo si acostumbraba ejecutarlos para entender la teoria con ejemplos,social discovery,encuentro
2244,a957214c-2b55-4dc9-9c22-c970204eeefd,Nicolás Crespín Verdún,https://play-lh.googleusercontent.com/a-/ACB-R5T_O35C8rfg-IqVK661UN20oWeLoxklI5sC-0Sudg,"Estoy empezando a estudiar Python, la verdad me super sirve como repaso. Excelente app por ahora. Con ejercicios prácticos y muy dinámica. Encantado.",5,0,4.24.0,2022-07-24 00:40:11,,,4.24.0,es,POS,estoy empezando estudiar python la verdad super sirve como repaso excelente app por ahora con ejercicios practicos muy dinamica encantado,daily streaks,dia
2284,cbcec522-d669-4dbd-b55c-79250dd8e39e,FRANCO RENNA,https://play-lh.googleusercontent.com/a-/ACB-R5RKVlAsH1srojvF8KWctIkaKe1Gy1KNRqhAw2sr,"La calificó con 5 estrellas pero me gustaría que sigan mejorando el tema de pasar a español los lenguaje de programación como ea el caso de swift o algunos de python y otras más,pero he estado usando la app y es muy buena",5,0,4.23.1,2022-07-19 02:58:02,,,4.23.1,es,POS,la califico con 5 estrellas pero gustaria que sigan mejorando el tema de pasar espanol los lenguaje de programacion como ea el caso de swift algunos de python otras maspero estado usando la app es muy buena,"boosters, win states","mejora, estad"
3096,328ee98b-b349-49c3-aa24-b03cec99edc1,Fabian Andres Bautista lopez,https://play-lh.googleusercontent.com/a-/ACB-R5Q3DzW7EsgyxGgU8KSb3NI8Ow-OTpxCp9kmvG0-cQ,"Genial , acabo de empezar en este mundo de la Cyber seguridad , muchos me dijeron que me enfocará en Python para empezar. Asta el momento he aprendido de una forma sencilla y me divierte las pruebas q te colocan <3",5,0,4.17.1,2022-04-25 10:06:02,,,4.17.1,es,POS,genial acabo de empezar en este mundo de la cyber seguridad muchos dijeron que enfocara en python para empezar asta el momento aprendido de una forma sencilla divierte las pruebas q te colocan 3,challenges,prueba
