Unnamed: 0,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,language,sentiment,standardizedReview,mentionedFeature,mentionedSynonyms
15,fe3a65b8-2adb-4652-a817-c2233f34ca8d,THEDOGOPRO_ _YT,https://play-lh.googleusercontent.com/a-/ACB-R5S8uwNiPmEwWN48cLoUGud0gRRbNfzDg7oRywyi,"Me encanto y es demasiado buena que incluso adquiri el pro, aunque la última actualización la cual cambio toda la HUD no me gusto para nada, le quito ese toque minimalista y sencillo a mimo. Otra cosa es que algunas traducciones están mal",5,0,3.126.1,2023-05-06 02:43:59,,,3.126.1,es,NEG,encanto es demasiado buena que incluso adquiri el pro aunque la ultima actualizacion la cual cambio toda la hud gusto para nada le quito ese toque minimalista sencillo mimo otra cosa es que algunas traducciones estan mal,leaderboard/competition,lista
19,c4a361f8-bda9-4116-a5f1-6c201602937f,Yeremy Silva,https://play-lh.googleusercontent.com/a/AGNmyxbrQD-r7rdNgv0lFhV3d-CAh7R9slUph4j_s7s-=mo,"La aplicación es espectacular ahora que pude utilizarla, en opinión personal, sería genial que agregarán más lenguajes de programación tales como php o c++ Edit: Noo, me gustaban los proyectos ya que ponían a prueba tus conocimientos además de ser divertidos, esta nueva actualización se arruinó por si sola al quitarlos.",2,1,3.126.1,2023-05-05 17:40:17,,,3.126.1,es,POS,la aplicacion es espectacular ahora que pude utilizarla en opinion personal seria genial que agregaran mas lenguajes de programacion tales como php c edit noo gustaban los proyectos ya que ponian prueba tus conocimientos ademas de ser divertidos esta nueva actualizacion se arruino por si sola al quitarlos,"challenges, avatar","prueba, person"
20,e4f418bd-927e-4874-b9c6-24e97fadfb97,Cristian Ramirez,https://play-lh.googleusercontent.com/a-/ACB-R5TIhUAs3B2CXNHsiSHLcAO3TJM8z0lraWu-vT0L,la descargué esperando aprender CSS y terminé tomando el curso de HTML jaja eso cosa mía o es fácil?,3,0,3.126.1,2023-05-05 17:31:29,,,3.126.1,es,NEU,la descargue esperando aprender css termine tomando el curso de html jaja eso cosa mia es facil,voting,tom
44,d76af1e2-5e9f-44d6-b1e2-c13e2b4cdf93,Li Huanca,https://play-lh.googleusercontent.com/a/AGNmyxZe89At3XmAzUdIDxroIJytpF5QqP4W_94fOsEf=mo,Maravillosa llevo unos días y puedo decir que es simplemente perfecta para aprender :),5,0,3.125,2023-05-03 01:58:42,,,3.125,es,POS,maravillosa llevo unos dias puedo decir que es simplemente perfecta para aprender,daily streaks,dia
62,fd9f61a2-b43e-4329-95fe-66cddf295b9e,INTERGALAN,https://play-lh.googleusercontent.com/a/AGNmyxZP7q8vSuQ0ExHXo5D5kZBk5T8YjxVv3n1tSDRR=mo,la aplicación es buena pero no entiendo muy bien 😃 pero he sacado buenos resultados de ella,5,0,3.125,2023-05-01 15:14:35,,,3.125,es,POS,la aplicacion es buena pero entiendo muy bien pero sacado buenos resultados de ella,win states,resultad
64,076878e2-3ab2-4098-8e89-6fe763eb8f3d,Loli Guerrero,https://play-lh.googleusercontent.com/a-/ACB-R5TNjuYKkIBxmBOaffwbBBMq38hyUTNpB7iVbK9Z3w,Es una app muy chula que te enseña sobre lenguajes de marcado y programación. Tiene sistema de puntuación y ligas en la que compites con amiga/os y otras personas del mundo. Es muy útil si estás estudiando ya que repasas muchas cosas. La recomiendo.,5,0,3.125,2023-05-01 14:02:54,,,3.125,es,POS,es una app muy chula que te ensena sobre lenguajes de marcado programacion tiene sistema de puntuacion ligas en la que compites con amigaos otras personas del mundo es muy util si estas estudiando ya que repasas muchas cosas la recomiendo,"daily streaks, points system, virtual economy, avatar","dia, sistema, sistema, person"
82,cf9464fe-2068-4cf7-8fb5-97a7c29c2063,Hiper Dream,https://play-lh.googleusercontent.com/a/AGNmyxZF4HbGreHFsqRulz-nJTs28LSS8oD0dBFUm-BT=mo,es exelente el sistema de aprendizaje y la forma de interactuar con las actividades,4,0,3.125,2023-04-30 00:47:56,,,3.125,es,POS,es exelente el sistema de aprendizaje la forma de interactuar con las actividades,"points system, virtual economy","sistema, sistema"
84,5c1c008c-4aa7-41f6-b89c-2b220ca533da,A.R.M.Y /CREPY,https://play-lh.googleusercontent.com/a-/ACB-R5Sf6nzo9HFOU3TakVMryoMMBd6-sAm_yly0XkeEYw,en mi opinion tiene buena estructura,5,0,3.125,2023-04-29 23:24:01,,,3.125,es,POS,en mi opinion tiene buena estructura,points system,estructura
96,9f8efe20-b9f9-48e8-83df-1cd4f3177435,Rubén Sánchez,https://play-lh.googleusercontent.com/a-/ACB-R5TArHyUwWGYsiGSRA-azjjQfR0MMVCL0e6zCpHKaQ,"Es muy buena la manera en la que aprendes muy interactivo, pero hasta cierto punto me gustaría que fuera más complejo en la dificultad al permitirnos escribir el código desde 0 sin las ayudas, de igual en HTML no deberían mezclar CSS pues eso fomenta a malas prácticas, tal vez una persona que no tiene conocimientos lo vea normal pero en lo profesional está mal visto poner el diseño de la página en el HTML. Espero que tomen en cuenta tener una opción de desactivar las ayudas en los ejercicios.",4,1,3.125,2023-04-29 07:27:04,,,3.125,es,NEG,es muy buena la manera en la que aprendes muy interactivo pero hasta cierto punto gustaria que fuera mas complejo en la dificultad al permitirnos escribir el codigo desde 0 sin las ayudas de igual en html deberian mezclar css pues eso fomenta malas practicas tal vez una persona que tiene conocimientos lo vea normal pero en lo profesional esta mal visto poner el diseno de la pagina en el html espero que tomen en cuenta tener una opcion de desactivar las ayudas en los ejercicios,"avatar, voting","person, tom"
97,c95ab8b0-ada1-4a7e-81e1-60d2f24a75bd,Droid Hiper,https://play-lh.googleusercontent.com/a-/ACB-R5TsHzTj-BmTOumfFi5FgCibIkVi0Jl9vtJIJyrz,"Ya llevo un tiempo usando la app y tengo que decir que es muy buena y fácil de entender hay algunos problemas que me he encontrado como uno en mi racha diaria pero no es muy importante diría. y ahora que page el Pro la app me parece mejor. conclusión es muy buena , aúnque me gustaría qué me respondiera alguien cuánto dura el pro o sí es infinito, ya que me gustaría seguir con el Pro pero no sé cuando se renueva o si no se renueva.",5,88,3.125,2023-04-29 03:22:54,,,3.125,es,POS,ya llevo un tiempo usando la app tengo que decir que es muy buena facil de entender hay algunos problemas que encontrado como uno en mi racha diaria pero es muy importante diria ahora que page el pro la app parece mejor conclusion es muy buena aunque gustaria que respondiera alguien cuanto dura el pro si es infinito ya que gustaria seguir con el pro pero se cuando se renueva si se renueva,"daily streaks, strike habit/competition","dia, racha"
128,a68628d2-a0df-4390-9798-51d3ac170771,Ashley López,https://play-lh.googleusercontent.com/a/AGNmyxZ8OEINbRor28YDWTShrn6adsJjGBRUgdxDOgdE=mo,"me parece que es increíble, es tan sencilla y simple, se un poco de código por lo que se me hace fácil, pero si aún eres nuevo es una forma de empezar a entender la estructuras de páginas y lenguajes de programación, tiene sus contra pero como estudiante te servirá por un tiempo.",4,0,3.123,2023-04-25 23:42:48,,,3.123,es,POS,parece que es increible es tan sencilla simple se un poco de codigo por lo que se hace facil pero si aun eres nuevo es una forma de empezar entender la estructuras de paginas lenguajes de programacion tiene sus contra pero como estudiante te servira por un tiempo,"daily streaks, points system","dia, estructura"
142,36a3cff8-fd34-4809-8707-c3c210112fd3,Diosdani Alvarez Velazco,https://play-lh.googleusercontent.com/a/AGNmyxZhAdPWZrh6ol5_pJrI0ch7rvh327OESpsU_daq=mo,"Me encanta la APK, comencé sin saber nada de programación y hoy puedo decirles q ya he adquirido bastante conocimientos, gracias por crear esta fabulosa aplicación, les dejo mis 5 estrellas porque realmente se las merece y felicidades por tan grandioso proyecto sigan mejorando y lo otro q puedo decir es que sin duda ninguna la recomiendo es excelente les garantizo que aprenderán mucho con ella.",5,0,3.124.1,2023-04-25 13:31:14,,,3.124.1,es,POS,encanta la apk comence sin saber nada de programacion hoy puedo decirles q ya adquirido bastante conocimientos gracias por crear esta fabulosa aplicacion les dejo mis 5 estrellas porque realmente se las merece felicidades por tan grandioso proyecto sigan mejorando lo otro q puedo decir es que sin duda ninguna la recomiendo es excelente les garantizo que aprenderan mucho con ella,boosters,mejora
159,cff115e4-9b1b-4838-917d-5755fb6df8c0,Stefani Egle Lopez Gomez,https://play-lh.googleusercontent.com/a-/ACB-R5QJhtQ4FNVPpyoiwHZmry1Zik28FqDqFHzIWWpG,me parece muy buena la app en tan poco poco días ya he aprendido bastante!,5,0,3.124.1,2023-04-24 02:03:29,,,3.124.1,es,POS,parece muy buena la app en tan poco poco dias ya aprendido bastante,daily streaks,dia
174,f4941b53-4109-4fa1-910e-b62e6e8908c4,Lisdania S. Rodríguez Vásquez,https://play-lh.googleusercontent.com/a-/ACB-R5Q0LC6EYfF_2gxqmEZcsqA4_9DsIlVSve_m_A1ISA,"La adoro¡! Me gusta bastante ya que me ha ayudado mucho, gracias a está maravillosa app se puede adquirir conocimientos de manera rápida y breve, sin duda es la mejor app para aprender sobre programación. Me ayudara a aprobar un examen de admisión cuando cambie de escuela al finalizar año escolar ya que estudiaré informática (aún que no tengo idea si el examen trata sobre la carrera que vas a elegir o temas en general). Le doy 5/5 y si pudiera le diera un 10. La recomiendo totalmente. ☆",5,25,3.124.1,2023-04-22 21:49:14,Hi there. Thank you so much for the kind words. We're happy that we can help you learn to code and prepare for your exam with Mimo! Keep up the great work and happy coding! 🚀,2023-04-27 08:20:53,3.124.1,es,POS,la adoro gusta bastante ya que ha ayudado mucho gracias esta maravillosa app se puede adquirir conocimientos de manera rapida breve sin duda es la mejor app para aprender sobre programacion ayudara aprobar un examen de admision cuando cambie de escuela al finalizar ano escolar ya que estudiare informatica aun que tengo idea si el examen trata sobre la carrera que vas elegir temas en general le doy 55 si pudiera le diera un 10 la recomiendo totalmente,"daily streaks, challenges","dia, mision"
183,c3d2cc16-b3fd-4cb0-9508-8a96b3efdce4,Naxelo 23,https://play-lh.googleusercontent.com/a-/ACB-R5TtL3b2YcdZvMRVyzFpHZVi5zTMou1SR3ZDP0gLlg,"La app es increíble está ayudando mucho a aprender, pero hay veces que la intento abrir y se queda como en estado de cargando y lo puedo dejar media hora que no inicia, lo cierro lo vuelvo a abrir y nada, eso lo único malo que lo veo",3,0,3.124.1,2023-04-22 10:11:26,,,3.124.1,es,NEG,la app es increible esta ayudando mucho aprender pero hay veces que la intento abrir se queda como en estado de cargando lo puedo dejar media hora que inicia lo cierro lo vuelvo abrir nada eso lo unico malo que lo veo,"daily streaks, win states","dia, estad"
198,18348567-885e-411d-8f84-2b62de10d9cd,Fernando,https://play-lh.googleusercontent.com/a/AGNmyxbUEK_-teMZwpBZ8lVQ580rCiNK0qprbqw1wSmWuQ=mo,"Le daría 5 estrellas pero si no tuviera las ""vidas"". Hay días en los que no me equivoco y paso horas aprendiendo. Y hay días en los que me equivoco más y al cabo de 15 minutos se me terminan las vidas y se interrumpe el aprendizaje, teniendo que esperar horas para seguir. 👎",3,0,3.124.1,2023-04-21 13:43:49,,,3.124.1,es,NEG,le daria 5 estrellas pero si tuviera las vidas hay dias en los que equivoco paso horas aprendiendo hay dias en los que equivoco mas al cabo de 15 minutos se terminan las vidas se interrumpe el aprendizaje teniendo que esperar horas para seguir,daily streaks,dia
215,0b107a27-6ea0-4bfb-81f5-60756c8f8a35,MAIKOL ACEVEDO,https://play-lh.googleusercontent.com/a/AGNmyxaKJaAdlVl30EybZXhAG2KTdwGvj9qgfH6Q1ISc=mo,Es muy buena pero tiene un error al querer iniciar sesión dice error de conexión y persiste y persiste y no me deja iniciar sesión,4,0,3.124.1,2023-04-20 12:01:56,,,3.124.1,es,NEG,es muy buena pero tiene un error al querer iniciar sesion dice error de conexion persiste persiste deja iniciar sesion,social discovery,conexion
218,714aa9fe-5bde-461b-8c07-ef3bf6c23263,Alex Guzmán,https://play-lh.googleusercontent.com/a-/ACB-R5R0GNln3ksS-Lnqzy7ZFNK3_s0QL3oA6XCimRM5zQ,"Me encanta la app pero cuando acabo una tarea el app se cuelga, lo tengo que cerrar y abrir para que este normal",3,0,3.123,2023-04-20 06:36:59,,,3.123,es,NEG,encanta la app pero cuando acabo una tarea el app se cuelga lo tengo que cerrar abrir para que este normal,"challenges, visual grave","tarea, area"
219,e5f9f547-e95b-427b-8097-1b5ec55ae4c3,Fixna,https://play-lh.googleusercontent.com/a-/ACB-R5TrOuYQwXJ2NuQldXOkjApgtDgWkfaFc9LKVQg56g,Es una aplicación sencillamente increíble llevo algunos días usándola y ya aprendí más que si estuviera en una clase tradicional lo recomiendo si eres un principiante y quieres aprender lo básico,5,0,3.124.1,2023-04-20 04:58:22,,,3.124.1,es,POS,es una aplicacion sencillamente increible llevo algunos dias usandola ya aprendi mas que si estuviera en una clase tradicional lo recomiendo si eres un principiante quieres aprender lo basico,daily streaks,dia
220,0a80becd-dd6b-4250-80db-4c051802507b,VictorGhost8D,https://play-lh.googleusercontent.com/a-/ACB-R5RRrpDloXKs3aUMsGSA1DahRfO--selrm8OjCxOsQ,"Muy buena aplicación para aquellos que quieran aprender a programar, de una forma dinámica, soy estudiante de ingeniería en sistemas computacionales y esta app ha fortalecido mucho mis habilidades.",5,0,3.124.1,2023-04-20 04:43:13,,,3.124.1,es,POS,muy buena aplicacion para aquellos que quieran aprender programar de una forma dinamica soy estudiante de ingenieria en sistemas computacionales esta app ha fortalecido mucho mis habilidades,"daily streaks, points system, virtual economy","dia, sistema, sistema"
225,29d5181d-7a92-4da6-95b7-032ceb26ddc9,Daniel Cardet,https://play-lh.googleusercontent.com/a/AGNmyxYXLk1FXfqCXpUVYInLKPxBagyR3L473pCqlGjn=mo,Está muy bien la app y es muy útil. No le doy más estrellas porque no es gratis. A la semana hay q comenzar a pagar mensual. Deberían hacer como Duolingo que es gratuita pero tamb te da la opción de mejorar pagando.,3,0,3.124.1,2023-04-19 16:06:29,,,3.124.1,es,POS,esta muy bien la app es muy util le doy mas estrellas porque es gratis la semana hay q comenzar pagar mensual deberian hacer como duolingo que es gratuita pero tamb te da la opcion de mejorar pagando,boosters,mejora
233,0cb22f25-601c-4227-b05b-e2701bdf3c35,MATI XD,https://play-lh.googleusercontent.com/a/AGNmyxabAkjDYNIpagWv9JPF_GyzVqVML8fYuHqk0RLr=mo,"Esta buena la App, esta bien diseñada y se aprende de algo,Solo que depende de uno conectarse y estudiar.",4,0,3.124.1,2023-04-19 00:20:57,,,3.124.1,es,POS,esta buena la app esta bien disenada se aprende de algosolo que depende de uno conectarse estudiar,daily streaks,dia
246,268d3ef7-e1d5-42bf-8ad9-33e977bc9ea3,Milayris Ramirez,https://play-lh.googleusercontent.com/a/AGNmyxYkHNqjPGJP6wy0U5BNVwQt3RRsn7FL-nXIJewM=mo,Necesitas conexión,1,0,,2023-04-17 17:05:40,,,,es,NEU,necesitas conexion,social discovery,conexion
255,c61119c6-b848-48b5-859b-0c8646ab7fd0,Raul Roca Campos,https://play-lh.googleusercontent.com/a/AGNmyxZ30s9pXlL9a5evjJaW2uwelum5H8aum_X6euV5=mo,"Posee una sección teórica, brinda pequeños tests de las diferentes secciones además d venir acompañado de proyectos prácticos con el cual se aprende mucho . Cosas que quisiera que mejorarán para que fuera la mejor app sería el hecho de que el glosario está en inglés y le faltan algunas partes , que aparezca la sección de css independiente y no solo en la sección de desarrollo web y que algunos proyectos y test terminan pidiendo internet sería lo mejor . Si lo cambian pongo 5 estrellas merecidas",4,0,,2023-04-17 03:54:50,,,,es,POS,posee una seccion teorica brinda pequenos tests de las diferentes secciones ademas venir acompanado de proyectos practicos con el cual se aprende mucho cosas que quisiera que mejoraran para que fuera la mejor app seria el hecho de que el glosario esta en ingles le faltan algunas partes que aparezca la seccion de css independiente solo en la seccion de desarrollo web que algunos proyectos test terminan pidiendo internet seria lo mejor si lo cambian pongo 5 estrellas merecidas,boosters,mejora
263,aff9f8c4-7402-465c-b016-c6a3060dee2f,Oliver Espinal Wii,https://play-lh.googleusercontent.com/a-/ACB-R5RKauuM4QbQ-4l81RBsjUIqdV5sMpscR3a-x4chUQ,"mimo Me gusta Esto ya que cuando Llegue a estudiar. Programación Tendré Una experiencia no tan grande, pero que me ayudara en un futuro Gracias",5,0,,2023-04-16 20:24:19,,,,es,POS,mimo gusta esto ya que cuando llegue estudiar programacion tendre una experiencia tan grande pero que ayudara en un futuro gracias,daily streaks,dia
265,bc44f5c8-e99b-499e-8a40-e6f6b829207d,Nohemy Aranguren,https://play-lh.googleusercontent.com/a-/ACB-R5Qsz2z0IwiPK07kwZ5mV6wwIpFwh7bQze9WRCxq,"excelente app la amo, es lo máximo, disfruto mucho el tiempo en ella, es didáctica y muy chévere si quieres comenzar y necesitas algo que te anime a estudiar un poco más y de forma, sencilla, muy buena si estás comenzando",5,0,3.123,2023-04-16 18:14:46,,,3.123,es,POS,excelente app la amo es lo maximo disfruto mucho el tiempo en ella es didactica muy chevere si quieres comenzar necesitas algo que te anime estudiar un poco mas de forma sencilla muy buena si estas comenzando,daily streaks,dia
277,94413d70-0463-4c80-be70-6d64375eb714,Álex Carpio,https://play-lh.googleusercontent.com/a-/ACB-R5SGuMhtCdm9iJHBc0chEXHQUYiX_ubyLIvumFBT,"Buena app para empezar a programar, aunque se parezca un poco a la base de Duolingo, es bastante entretenido y una buena opción para personas que empiezan a aprender a programar.",4,0,3.123,2023-04-15 18:02:22,,,3.123,es,POS,buena app para empezar programar aunque se parezca un poco la base de duolingo es bastante entretenido una buena opcion para personas que empiezan aprender programar,avatar,person
303,8b676282-97f2-4b1d-b079-4ebd75514c90,alex Alixis,https://play-lh.googleusercontent.com/a/AGNmyxb2M0uUkvsaEgxVP9hqNeJOydPzoOJwIqjrGKsB=mo,"Pensé estar usando la prueba gratuita de mimo, pero no!!!!. Al parecer usaron sin permiso mi dinero afiliado a mi cuenta Google y el dinero es mucho, no me aparecio en ningún momento el monto de lo que se debe pagar para la app, como me enteré? Lo sé porque en mi tarjeta me avisaron de que la aplicación usa parte de mi dinero sin autorización y se aplico la compra de 129.99 soles es demasiado yo nunca acepte nada, espero mi reembolso de algo que no acepte",1,4,3.122,2023-04-13 19:48:46,,,3.122,es,NEG,pense estar usando la prueba gratuita de mimo pero al parecer usaron sin permiso mi dinero afiliado mi cuenta google el dinero es mucho aparecio en ningun momento el monto de lo que se debe pagar para la app como entere lo se porque en mi tarjeta avisaron de que la aplicacion usa parte de mi dinero sin autorizacion se aplico la compra de 12999 soles es demasiado yo nunca acepte nada espero mi reembolso de algo que acepte,challenges,prueba
