Unnamed: 0,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,language,sentiment,standardizedReview,mentionedFeature,mentionedSynonyms
7,55bd909d-84fc-49ee-a220-59f4b52e01b6,Alina Vázquez,https://play-lh.googleusercontent.com/a-/ACB-R5ReIbPNBmbbzhLHNesgaArKdiy2D7PkHsddENRidw,Me lanzó a una prueba sin darme lecciones. Creo que habría quedado mejor al estilo Duolingo,4,0,1.14.0,2023-02-05 18:14:18,,,1.14.0,es,NEU,lanzo una prueba sin darme lecciones creo que habria quedado mejor al estilo duolingo,challenges,prueba
14,77493128-41d0-41ae-8bde-908a60d5041f,Carlos Roberto Martínez Hernández,https://play-lh.googleusercontent.com/a-/ACB-R5QfAEOJCGYG1vT6-gAiLsbhpz_JLE8RVo6JaV0U4A,Me gusta mucho la aplicación de escritorio y la portable para practicar conceptos de forma diaria,5,0,1.14.0,2022-12-23 02:47:16,,,1.14.0,es,NEU,gusta mucho la aplicacion de escritorio la portable para practicar conceptos de forma diaria,daily streaks,dia
15,4bf345ea-5456-4cdc-8903-4bd4b854ab06,Cristopher CL,https://play-lh.googleusercontent.com/a/AGNmyxYf0jZWICNIcYhaEC1m90O6UPomikBnPjkI-j1m=mo,"Hola, acabo de descargar la aplicación pero no se puede abrir se cierra automáticamente, ¿a qué se debe esto?",3,0,1.14.0,2022-12-06 02:43:49,,,1.14.0,es,NEU,hola acabo de descargar la aplicacion pero se puede abrir se cierra automaticamente que se debe esto,voting,tom
40,e9ca2e92-fe17-41d6-966a-9881dab74c3a,Alex Ironheart,https://play-lh.googleusercontent.com/a-/ACB-R5RlQadFJTVKH4YixGXI7xqVpVxPB7kS4hVhEmVc2A,"No me queda clara la secuencia de ejercicios (para elegir el tema, por ejemplo) y los ejercicios de seleccionar fragmentos para responder no funcionan bien.",2,3,1.14.0,2022-04-06 03:45:12,,,1.14.0,es,NEU,queda clara la secuencia de ejercicios para elegir el tema por ejemplo los ejercicios de seleccionar fragmentos para responder funcionan bien,"daily streaks, voting","secuencia, elecc"
49,61a35a01-ce85-4a9c-9fa0-8abd4ffca161,Dario Conde,https://play-lh.googleusercontent.com/a-/ACB-R5SPFIpNg41JxjID2s4uwbD1DRjd54ol03lRulzZ2gA,"No deja crear una nueva cuenta ni loguearse con Google o Facebook. Al seleccionar cualquier de las anteriores, entra en un loop y no avanza. Por favor corregir este bug. Gracias.",1,3,,2022-02-09 04:00:11,,,,es,NEU,deja crear una nueva cuenta ni loguearse con google facebook al seleccionar cualquier de las anteriores entra en un loop avanza por favor corregir este bug gracias,voting,elecc
61,714f811f-5f3c-4f7a-aad8-c02764f5b322,Roberto hernandez de la iglesia,https://play-lh.googleusercontent.com/a/AGNmyxbDW03MJUMLS4io0sq0KZxfUgP4stKYAGhooIC8=mo,Muy útil para mantenerse al día,5,0,1.14.0,2021-11-06 16:16:18,,,1.14.0,es,NEU,muy util para mantenerse al dia,daily streaks,dia
66,394bb722-81c0-469c-bfcd-0201fe749f12,Yunior Hendrix Calderon Rodríguez (Gyunito),https://play-lh.googleusercontent.com/a-/ACB-R5QXgyhhABsAP21KLI4JqpAdbyOnz-KPRgn3r7LJWBQ,"• Descubre una nueva forma de practicar la sintaxis de codificación. • Recuerda más con las flashcards diarias que puedes hojear rápidamente. • Revisar cuando, donde sea. Deja el escritorio. • Aprenda cómo aplicar sus habilidades en su día a día con el asesoramiento de los líderes de la industria. • Mantén las rayas y sigue tu progreso. ¿QUÉ PUEDO APRENDER? • Desarrollo web • Ciencia de los datos • Ciencias de la Computación • HTML y CSS • Python • JavaScript • SQL • Y más por venir ...",5,3,1.14.0,2021-10-05 08:46:50,,,1.14.0,es,NEU,descubre una nueva forma de practicar la sintaxis de codificacion recuerda mas con las flashcards diarias que puedes hojear rapidamente revisar cuando donde sea deja el escritorio aprenda como aplicar sus habilidades en su dia dia con el asesoramiento de los lideres de la industria manten las rayas sigue tu progreso que puedo aprender desarrollo web ciencia de los datos ciencias de la computacion html css python javascript sql mas por venir,daily streaks,dia
79,bb178c35-1743-4f7e-a1be-b356ac65a40e,Alberto G,https://play-lh.googleusercontent.com/a-/ACB-R5TafpzJqMR80sDa5C7ZwOH3QTDsVBW9voFFH-ezS1s,Al seleccionar respuestas deja los cuadros en negro (vacíos),1,0,1.14.0,2021-06-27 14:53:16,,,1.14.0,es,NEU,al seleccionar respuestas deja los cuadros en negro vacios,voting,elecc
81,bbeb2f3e-64fc-4abe-819c-0b7498db604a,Jacobo Fernández-Jardón,https://play-lh.googleusercontent.com/a-/ACB-R5QMPCszSiTa07j77qIUzatomFS2hTbtfW8YDKaLWg,Recomendación mejorar el modo oscuro. Gracias.,5,1,1.14.0,2021-06-08 18:08:42,,,1.14.0,es,NEU,recomendacion mejorar el modo oscuro gracias,boosters,mejora
82,2b2ac201-8c77-4ab9-b969-f68fd720e6d5,Samantha Ossandon,https://play-lh.googleusercontent.com/a-/ACB-R5R8xwzB35BnwKfplZavibCmxIazEQHtlBxo62-H2g,"Nunca me funcionaron la actividades de elegir los tags que correspondan, tengo que seleccionar cualquier cosa y así equivocarme para poder continuar",2,4,1.14.0,2021-06-07 04:29:29,,,1.14.0,es,NEU,nunca funcionaron la actividades de elegir los tags que correspondan tengo que seleccionar cualquier cosa asi equivocarme para poder continuar,voting,elecc
