Unnamed: 0,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,language,sentiment,standardizedReview,mentionedFeature,mentionedSynonyms
22,5bee7be1-256c-4862-8f03-a25bee1fb948,Frensug Leito,https://play-lh.googleusercontent.com/a/AGNmyxaaVjTAqHSWtxmWCn2lLkXO5qCIE25LMppO8nV2=mo,"Es mejor que SoloLearn, si pudieran añadir un sistema de práctica y competencia por puestos semanales por premios y puntos, y poder aprender off line sería mucho mejor",5,0,,2023-04-01 01:32:23,,,,es,POS,es mejor que sololearn si pudieran anadir un sistema de practica competencia por puestos semanales por premios puntos poder aprender line seria mucho mejor,"points system, strike habit/competition, virtual economy","sistema, competencia, sistema"
40,c3bf6ceb-3578-48ea-8c44-a944334fff3d,Miguel Ángel Hernández Muñoz,https://play-lh.googleusercontent.com/a/AGNmyxZYJ3GkKLb2Bf8aKUBnI3KdHWFXA6n2CZxuk4RS=mo,"Lo mejor de lo mejor paso a paso en la programación ¡Linux el padre de todos los sistemas operativos aunque les duela, el es el kernel de la matrix injaqueable! La app está muy buena muy recomendable",5,4,5.1.66,2023-03-11 00:55:29,,,5.1.66,es,POS,lo mejor de lo mejor paso paso en la programacion linux el padre de todos los sistemas operativos aunque les duela el es el kernel de la matrix injaqueable la app esta muy buena muy recomendable,"points system, virtual economy","sistema, sistema"
94,29f8996e-2d42-4f39-9381-1085887b1fdd,Christian Castro,https://play-lh.googleusercontent.com/a-/ACB-R5QioF3bXwuHaydSi8v5tWRGYNCyzmcIBSuq2lrTqA,"De ser de ser días ordinarios, le dije séñor, yo soy tu hijo, mándame una Señal. Y esta fue, humildemente, Gracias.",5,0,,2022-12-14 03:41:27,"Dear Friend
Thank you! We are pleased that you have enjoyed learning with us. We sincerely appreciate your insight because it helps us improve ourselves If you need any assistance, please feel free to get in touch with us at Hello@prghub.com so we can help you better.
-JP",2022-12-15 18:10:16,,es,POS,de ser de ser dias ordinarios le dije senor yo soy tu hijo mandame una senal esta fue humildemente gracias,daily streaks,dia
138,74cb2d95-aa1f-4ee1-aabb-3b6a4f66ef63,Martín Burlin,https://play-lh.googleusercontent.com/a-/ACB-R5R5kdUhbo4kPlaPOxGULhqfMkE9SZVqdcs266fzPQ,"Esta muy bien estructurada la App, y la explicación de cada etapa es muy clara",5,0,5.1.57,2022-09-19 19:12:26,"Dear Friend
Thank you so much! Every little encouragement greatly helps us to continuously improve and provide you with the best platform to learn programming. If you need any help, feel free to get in touch with us at Hello@prghub.com and we'll be very happy to assist you!
-",2022-09-20 19:19:41,5.1.57,es,POS,esta muy bien estructurada la app la explicacion de cada etapa es muy clara,points system,estructura
217,09345f65-afd3-4973-8ed1-3db918a85c9c,Juan Martinez,https://play-lh.googleusercontent.com/a/AGNmyxbMw2EXMD1II-AsFIyvoW_zxS30OnkMC-NDvTqV=mo,"Para consolidar los bases teóricas de un montón de tecnologías. Obviamente, no substituye un estudio más serio en un ambiente sin distracciones pero es una gran herramienta de estudio relajado que permite cimentar los conocomientos teóricos básicos mientras vuelves en metro del trabajo o andando de llevar al cole al niño. No hay que subestimar el Poder de aprovechar esos minutos cada día. En resumen, aprovechar esos momentos ayuda a la inmersión en el aprendizaje.",5,7,5.1.51,2022-05-18 07:31:43,"Dear Friend
Hurray! Your feedback really means a lot to us! We really appreciate you taking the time out to share your experience with us.If you need any assistance, please feel free to get in touch with us at Hello@prghub.com so we can help you better.
-PS",2022-05-18 11:15:08,5.1.51,es,POS,para consolidar los bases teoricas de un monton de tecnologias obviamente substituye un estudio mas serio en un ambiente sin distracciones pero es una gran herramienta de estudio relajado que permite cimentar los conocomientos teoricos basicos mientras vuelves en metro del trabajo andando de llevar al cole al nino hay que subestimar el poder de aprovechar esos minutos cada dia en resumen aprovechar esos momentos ayuda la inmersion en el aprendizaje,daily streaks,dia
219,42930b5b-8ce8-4c76-904d-88d652a39cac,Steve Herrera,https://play-lh.googleusercontent.com/a-/ACB-R5TdT2-ACTyu7ZXKEWQsh4vxVVjVOYWrRVegXF3lVg,"Es muy buena y interesante, pero cuando sacaran ¿una version en español? , ayudaría mucho más estudiar así",5,0,5.1.51,2022-05-16 12:30:03,"Dear Friend
Hurray! Your feedback really means a lot to us! We really appreciate you taking the time out to share your experience with us.If you need any assistance, please feel free to get in touch with us at Hello@prghub.com so we can help you better.
-PS",2022-05-17 09:49:37,5.1.51,es,POS,es muy buena interesante pero cuando sacaran una version en espanol ayudaria mucho mas estudiar asi,daily streaks,dia
237,3fcd9a83-d124-4da6-b266-85bfb1d50634,daniel alberto castro ramirez,https://play-lh.googleusercontent.com/a-/ACB-R5Szf2Ua48uaFHqRs-_LbRDdNoWaSi7UuNzKZKXsUA,Para las personas que quieran aprender programación.,5,0,5.1.50,2022-04-16 22:44:42,"Dear Friend
We are very happy that you find us to be the best. Your feedback keeps us motivated to make your learning experience absolutely enjoyable. If you need any assistance, feel free to get in touch with us at Hello@prghub.com so that we can help you better. Happy Learning!
-PS",2022-04-18 07:52:21,5.1.50,es,NEU,para las personas que quieran aprender programacion,"avatar, status quo sloth","person, person"
240,4d43f371-4db6-408e-9f25-584b9ac14c89,Héctor Raúl Ahumada Hernández,https://play-lh.googleusercontent.com/a/AGNmyxY5nDnWZLK8Ywd5_7L4SUCiDOCQOdvGs9H6Sjk0=mo,"Me gusta la aplicación, que tengan un buen día.",5,0,5.1.50,2022-04-13 19:08:38,"Dear Friend
Thank you for your wonderful feedback! Our goal is to make your learning experience with us enjoyable and straightforward. Do recommend us to your friends too! :) If you need any assistance, please reach us at Hello@prghub.com and we'll be very happy to assist you!
-PS",2022-04-19 07:11:47,5.1.50,es,POS,gusta la aplicacion que tengan un buen dia,daily streaks,dia
287,b66dbd22-9cf0-4d54-8673-33c3cb13ac37,Multiservicios AG,https://play-lh.googleusercontent.com/a-/ACB-R5RK7_wEksyawrG7C_HfzurcJewjuD6wZqL26PC8xw,"Cursos directos y concisos, todo bien estructurado y se aprende bien",5,7,5.1.50,2022-02-01 22:00:10,"Dear Friend
We're glad that we have been helpful to you. It is our goal to make your learning experience truly delightful and enjoyable. Do recommend us to your friends too! :)If you need any assistance, please reach us at Hello@prghub.com and we'll be very happy to assist you!
-PS",2022-02-05 06:39:45,5.1.50,es,POS,cursos directos concisos todo bien estructurado se aprende bien,points system,estructura
294,88228df6-d577-46d4-82c3-2831d6f76a6f,Mauricio Ruiz,https://play-lh.googleusercontent.com/a-/ACB-R5TVGVJcyjStLoUgGYA91N4iddvJ9W9jr9AKTQAe4Q,Pareciera que se borró mi opinión. Muchas notificaciones todos los.dias.,1,0,5.1.50,2022-01-20 05:27:23,"Dear Mauricio,
We sincerely apologize for inconvenience caused. We will definitely take note of your feedback so that we can improve our service further. If you need any assistance, please contact us at Hello@prghub.com and we’ll be more than happy to help you :) -HG",2022-01-23 15:21:33,5.1.50,es,NEG,pareciera que se borro mi opinion muchas notificaciones todos losdias,daily streaks,dia
